Date,EURBRL
11/03/2010,"2,4206996"
12/03/2010,"2,4240165"
15/03/2010,"2,4087145"
16/03/2010,"2,43188078"
17/03/2010,"2,4206356"
18/03/2010,"2,41075604"
19/03/2010,"2,428635"
22/03/2010,"2,4403435"
23/03/2010,"2,39775596"
24/03/2010,"2,38993091"
25/03/2010,"2,39319171"
26/03/2010,"2,44426017"
29/03/2010,"2,4371346"
30/03/2010,"2,407692174"
31/03/2010,"2,4047433"
01/04/2010,"2,3974132"
02/04/2010,"2,3825735"
05/04/2010,"2,37403425"
06/04/2010,"2,3486694"
07/04/2010,"2,3714065"
08/04/2010,"2,3680188"
09/04/2010,"2,3906729"
12/04/2010,"2,387413404"
13/04/2010,"2,33155945"
14/04/2010,"2,3839884"
15/04/2010,"2,37489"
16/04/2010,"2,37087"
19/04/2010,"2,374046198"
20/04/2010,"2,35413325"
21/04/2010,"2,3398728"
22/04/2010,"2,3398118"
23/04/2010,"2,35880268"
26/04/2010,"2,33696"
27/04/2010,"2,3243285"
28/04/2010,"2,32262591"
29/04/2010,"2,2954791"
30/04/2010,"2,29778804"
03/05/2010,"2,28453918"
04/05/2010,"2,26761759"
05/05/2010,"2,28010178"
06/05/2010,"2,31683512"
07/05/2010,"2,35940715"
10/05/2010,"2,26778973"
11/05/2010,"2,2417463"
12/05/2010,"2,24081725"
13/05/2010,"2,219403"
14/05/2010,"2,22770975"
17/05/2010,"2,234396898"
18/05/2010,"2,21150664"
19/05/2010,"2,266705548"
20/05/2010,"2,35185344"
21/05/2010,"2,32382844"
24/05/2010,"2,29944456"
25/05/2010,"2,3061027"
26/05/2010,"2,26730826"
27/05/2010,"2,2414888"
28/05/2010,"2,22596467"
31/05/2010,"2,22917184"
01/06/2010,"2,2431654"
02/06/2010,"2,2404116"
03/06/2010,"2,21348204"
04/06/2010,"2,20097941"
07/06/2010,"2,2341828"
08/06/2010,"2,226234"
09/06/2010,"2,2083738"
10/06/2010,"2,19415161"
11/06/2010,"2,1938476"
14/06/2010,"2,20077655"
15/06/2010,"2,19809182"
16/06/2010,"2,1995508"
17/06/2010,"2,21014666"
18/06/2010,"2,19552524"
21/06/2010,"2,17152068"
22/06/2010,"2,168127652"
23/06/2010,"2,21823476"
24/06/2010,"2,1939576"
25/06/2010,"2,202572"
28/06/2010,"2,1870486"
29/06/2010,"2,20298508"
30/06/2010,"2,18991252"
01/07/2010,"2,249506461"
02/07/2010,"2,22930435"
05/07/2010,"2,22277956"
06/07/2010,"2,229954"
07/07/2010,"2,229548"
08/07/2010,"2,24379587"
09/07/2010,"2,21956268"
12/07/2010,"2,2154176"
13/07/2010,"2,23350908"
14/07/2010,"2,24986634"
15/07/2010,"2,287371"
16/07/2010,"2,30418876"
19/07/2010,"2,310882721"
20/07/2010,"2,28647667"
21/07/2010,"2,261404668"
22/07/2010,"2,270675602"
23/07/2010,"2,27122105"
26/07/2010,"2,29457376"
27/07/2010,"2,28697323"
28/07/2010,"2,28940393"
29/07/2010,"2,307634832"
30/07/2010,"2,29466665"
02/08/2010,"2,29592217"
03/08/2010,"2,31891751"
04/08/2010,"2,30572056"
05/08/2010,"2,3107623"
06/08/2010,"2,335288"
09/08/2010,"2,316573"
10/08/2010,"2,3205424"
11/08/2010,"2,27057715"
12/08/2010,"2,266167552"
13/08/2010,"2,258025"
16/08/2010,"2,249352006"
17/08/2010,"2,25081684"
18/08/2010,"2,24773264"
19/08/2010,"2,254659572"
20/08/2010,"2,23452595"
23/08/2010,"2,22469803"
24/08/2010,"2,22454497"
25/08/2010,"2,234928168"
26/08/2010,"2,23137915"
27/08/2010,"2,22321453"
30/08/2010,"2,2220055"
31/08/2010,"2,21982684"
01/09/2010,"2,2272"
02/09/2010,"2,23056085"
03/09/2010,"2,2253318"
06/09/2010,"2,21942883"
07/09/2010,"2,193121"
08/09/2010,"2,1885416"
09/09/2010,"2,1876024"
10/09/2010,"2,1806928"
13/09/2010,"2,209049675"
14/09/2010,"2,21021447"
15/09/2010,"2,239952468"
16/09/2010,"2,2461465"
17/09/2010,"2,23246352"
20/09/2010,"2,25532695"
21/09/2010,"2,28589373"
22/09/2010,"2,242239303"
23/09/2010,"2,287375205"
24/09/2010,"2,30999125"
27/09/2010,"2,29650293"
28/09/2010,"2,319113"
29/09/2010,"2,3208484"
30/09/2010,"2,31025781"
01/10/2010,"2,31464352"
04/10/2010,"2,320822"
05/10/2010,"2,3090615"
06/10/2010,"2,344128"
07/10/2010,"2,33616872"
08/10/2010,"2,33163018"
11/10/2010,"2,30605053"
12/10/2010,"2,323805"
13/10/2010,"2,30771625"
14/10/2010,"2,33663026"
15/10/2010,"2,30996514"
18/10/2010,"2,329932"
19/10/2010,"2,320708"
20/10/2010,"2,33897"
21/10/2010,"2,3570316"
22/10/2010,"2,375605"
25/10/2010,"2,37003114"
26/10/2010,"2,358264282"
27/10/2010,"2,3677506"
28/10/2010,"2,38604875"
29/10/2010,"2,36376875"
01/11/2010,"2,37051087"
02/11/2010,"2,38747257"
03/11/2010,"2,3860503"
04/11/2010,"2,38242822"
05/11/2010,"2,355637"
08/11/2010,"2,35241984"
09/11/2010,"2,33527328"
10/11/2010,"2,3556789"
11/11/2010,"2,344683"
12/11/2010,"2,35765647"
15/11/2010,"2,334556"
16/11/2010,"2,3415168"
17/11/2010,"2,33951886"
18/11/2010,"2,3361994"
19/11/2010,"2,34903025"
22/11/2010,"2,34002988"
23/11/2010,"2,32025508"
24/11/2010,"2,30021316"
25/11/2010,"2,2881339"
26/11/2010,"2,29137408"
29/11/2010,"2,2489266"
30/11/2010,"2,22730695"
01/12/2010,"2,23848198"
02/12/2010,"2,248140905"
03/12/2010,"2,25814418"
06/12/2010,"2,23360705"
07/12/2010,"2,2210188"
08/12/2010,"2,2417308"
09/12/2010,"2,25539604"
10/12/2010,"2,2552035"
13/12/2010,"2,2677735"
14/12/2010,"2,2613401"
15/12/2010,"2,24645547"
16/12/2010,"2,25598191"
17/12/2010,"2,254464"
20/12/2010,"2,23854722"
21/12/2010,"2,2253"
22/12/2010,"2,2278987"
23/12/2010,"2,22114375"
24/12/2010,"2,21836747"
27/12/2010,"2,2220432"
28/12/2010,"2,211592896"
29/12/2010,"2,21870194"
30/12/2010,"2,2101276"
31/12/2010,"2,222076"
03/01/2011,"2,199213585"
04/01/2011,"2,22060975"
05/01/2011,"2,20363"
06/01/2011,"2,18762384"
07/01/2011,"2,1712938"
10/01/2011,"2,1894507"
11/01/2011,"2,130846048"
12/01/2011,"2,13258122"
13/01/2011,"2,2284488"
14/01/2011,"2,24876924"
17/01/2011,"2,2338288"
18/01/2011,"2,2361327"
19/01/2011,"2,24615"
20/01/2011,"2,20212384"
21/01/2011,"2,20843699"
24/01/2011,"2,27872905"
25/01/2011,"2,2814136"
26/01/2011,"2,21804198"
27/01/2011,"2,294763506"
28/01/2011,"2,28777696"
31/01/2011,"2,2852903"
01/02/2011,"2,30247204"
02/02/2011,"2,29685378"
03/02/2011,"2,27269448"
04/02/2011,"2,27850806"
07/02/2011,"2,21247889"
08/02/2011,"2,26788125"
09/02/2011,"2,2799316"
10/02/2011,"2,26350882"
11/02/2011,"2,25716998"
14/02/2011,"2,2461087"
15/02/2011,"2,252176164"
16/02/2011,"2,2651668"
17/02/2011,"2,2639764"
18/02/2011,"2,27510184"
21/02/2011,"2,28097325"
22/02/2011,"2,28451518"
